variant,ARI_mean,ARI_std,NMI_mean,NMI_std,AMI_mean,AMI_std,FMI_mean,FMI_std,V_measure_mean,V_measure_std,homogeneity_mean,homogeneity_std,elapsed_sec_mean,elapsed_sec_std,peak_memory_mib_mean,peak_memory_mib_std
GCN_encoder,0.4526078615348684,0.03471652268225917,0.4349662435928856,0.03138718432023718,0.4336473467024063,0.03146055694121756,0.5896722029735716,0.025992298570463493,0.4349662435928856,0.03138718432023717,0.43438621404663663,0.03139646481653366,6.132878208160401,0.21360482348369653,22.5625,0.05880191700463863
GraphConv_encoder,0.15058625597293535,0.05726277873761523,0.17959148157391375,0.06465702518742614,0.17760340276578668,0.06479392281524472,0.38105014897669776,0.04653907282452397,0.17959148157391375,0.06465702518742611,0.17260200531062306,0.06175397123797704,4.799429655075073,0.1392230672737699,20.3486328125,0.0042003541342981576
SAGE_encoder,0.8146169898129353,0.0407599853142884,0.7744411141546513,0.034550227183231544,0.7739151374820932,0.03463095000102105,0.8609150180768335,0.030535559156182186,0.7744411141546514,0.034550227183231585,0.7741883965454912,0.03477796558788245,7.079689407348633,0.33159549956865525,20.9619140625,0.0042003541342981576
SMAHD_full,0.47898763128085414,0.015577074103446963,0.4575234925634558,0.01585776312187739,0.45625754721109785,0.015894257547167855,0.609366965181945,0.011773940094269087,0.4575234925634558,0.015857763121877366,0.4570051988147621,0.01565786361796084,11.902752161026001,0.5004245828595789,53.10595703125,0.4480416175380838
early_concat_single_encoder,0.4275417245527476,0.04953826577257352,0.4171593219714291,0.04143940510835312,0.41579641662173883,0.04153647454531525,0.5716135090112024,0.03691332297334432,0.4171593219714291,0.04143940510835318,0.41587560059003115,0.04139171952601874,5.002989196777344,0.33210857110102204,43.99306640625,0.44562979654135726
equal_weights,0.47941835316578196,0.016498697245135616,0.45792265044070535,0.016644851986140723,0.4566576376027854,0.016683124493138017,0.6096908681432228,0.012472277342637002,0.45792265044070535,0.01664485198614072,0.4574025621876842,0.016419123176154255,11.688261938095092,0.39001682078480265,53.10595703125,0.4480416175380838
full_batch_no_microcluster,0.4741291269854001,0.021584012839855553,0.4545631429504783,0.020257302988724156,0.45328988288062816,0.020304134253019263,0.6058366988966424,0.016266880289276052,0.4545631429504783,0.0202573029887242,0.4539054694056091,0.02007875625382369,2.694427251815796,0.15869187399711873,267.40693359375,0.13988537728249442
