dataset,variant,ARI_mean,ARI_std,NMI_mean,NMI_std,AMI_mean,AMI_std,FMI_mean,FMI_std,elapsed_sec_mean,elapsed_sec_std,peak_memory_mib_mean,peak_memory_mib_std
hln_A1,ADT_only,0.1308514768504269,0.006783114537146079,0.2643061530632458,0.013988854852016687,0.2595679503155886,0.014091982168755424,0.28947457800650234,0.007236816661948667,5.443185567855835,0.14454344358727256,42.637532552083336,0.005128890383005046
hln_A1,GCN_encoder,0.1833837905306682,0.006287109222803492,0.3109787884299539,0.008887499481326925,0.30647256960302066,0.008911611369876818,0.3403677445498638,0.007616305916876371,5.590272823969523,0.5828628058863473,23.055013020833332,0.02384759493150083
hln_A1,RNA_only,0.20548067296081426,0.025140484593061434,0.3357408097520062,0.01266709953576456,0.33135816218352904,0.01265905120968246,0.3637370047751649,0.029960625733148286,5.386447588602702,0.23246065521103085,42.637532552083336,0.005128890383005046
hln_A1,SAGE_encoder,0.14909797084693066,0.022605298589279912,0.29935805829299317,0.026291600435668784,0.2950027643245,0.02643999842214746,0.29352763715187713,0.021629469714189515,7.050849040349324,0.4772457651418124,21.802408854166668,0.017539653357484173
hln_A1,SMAHD_full,0.19403452475623437,0.015864908332603896,0.32688356935558344,0.014044415426334094,0.3224966660149084,0.014096720586200404,0.3489994095348148,0.016703775182971864,9.681179523468018,0.5242046634964616,57.576171875,0.26223158055468826
hln_A1,early_concat_single_encoder,0.17858950871506984,0.012563577537356688,0.30124949657286715,0.008701225093633786,0.2966369024958921,0.00878988779708718,0.3396221975732798,0.01887035527594979,5.760544141133626,0.2821923757276209,42.754069010416664,0.0018486029771491521
hln_A1,equal_weights,0.1886405916822973,0.024039607637827674,0.32421659327630986,0.01979309365662585,0.31981261600648564,0.019892837043738038,0.34455844109097916,0.02231608092816368,9.155543804168701,0.10395929250179431,57.576171875,0.26223158055468826
hln_A1,full_batch_no_microcluster,0.21002638046267927,0.037176748238043844,0.33022746954952825,0.022155413740617736,0.3257347061784973,0.022245727592582774,0.373610089936228,0.03560670462251062,2.1977758407592773,0.0841810632747535,338.12890625,0.0
hln_D1,ADT_only,0.19158213842116537,0.022189948097493892,0.2881734361902453,0.01858427424315993,0.283260014785451,0.018682333361991568,0.3605709942709207,0.02100034636884089,6.322000344594319,0.256425852413073,41.122884114583336,1.2354316856324783
hln_D1,GCN_encoder,0.191811120642405,0.004793743617728292,0.3012407791596668,0.016369853400787077,0.29642297817460045,0.016538333072072413,0.3608222463948452,0.006646771487993248,5.328558762868245,0.1748713962667176,22.770670572916668,0.02694999934699538
hln_D1,RNA_only,0.13888278504115123,0.013167436668972207,0.2542535120267647,0.021658263420569288,0.2492827834076583,0.021804228515591464,0.30384601234267805,0.012079146905751459,5.411096096038818,0.2405156524800869,41.122884114583336,1.2354316856324783
hln_D1,SAGE_encoder,0.14261794572480416,0.00462690732934803,0.2866884204497752,0.006342752265186206,0.28203771264386607,0.006398776519293732,0.3005425100580395,0.003838557431628755,7.056337118148804,0.3420897530335694,21.59912109375,0.005167483029423029
hln_D1,SMAHD_full,0.17782080559494165,0.012313984018930964,0.29410550498478427,0.010159380748990697,0.28927316932454233,0.010266572204090081,0.3459020112339373,0.01100781128973107,9.74293565750122,0.2147914865578744,55.6640625,0.8633624422721168
hln_D1,early_concat_single_encoder,0.18645166415269795,0.04360562578262106,0.29215945918004865,0.033234319508909135,0.2872753663352376,0.033357620643608546,0.3549314252958407,0.04421647867008746,5.8292396068573,0.28682651017003774,41.198567708333336,1.2695648032424964
hln_D1,equal_weights,0.19226782444560428,0.013477555147928663,0.2993025391201868,0.01642083321915947,0.2944850672505804,0.016524716406293924,0.3595018745015996,0.012988377274358637,9.308883984883627,0.2358211676680105,55.6640625,0.8633624422721168
hln_D1,full_batch_no_microcluster,0.17922076275404467,0.01795422389624923,0.2823704825645877,0.007905621432028297,0.27745641327816434,0.007873430052823838,0.3472253021050049,0.02035008210137967,2.129561185836792,0.18719085384511297,324.99169921875,0.0
tonsil_s1,ADT_only,0.031139918338358403,0.025067851323830444,0.06647880391468929,0.041526227094491296,0.06561909774703538,0.04165303470564593,0.3784055708148457,0.023715624950105076,7.469119866689046,0.5327727573036887,41.907877604166664,1.1905391685539652
tonsil_s1,GCN_encoder,0.0794458077255318,0.013773507389213556,0.1429067390607006,0.009279296894060405,0.14214975224468474,0.009289065876879388,0.40184952885366704,0.006768034734419589,7.101233959197998,0.31175790568206013,22.973470052083332,0.013114086639638136
tonsil_s1,RNA_only,0.03335632875636715,0.04020070733456254,0.04005133597812718,0.026511489434524697,0.0385045599058615,0.026934946940506823,0.5895730034966675,0.07914494507474552,7.298412164052327,0.681681232351257,41.907877604166664,1.1905391685539652
tonsil_s1,SAGE_encoder,0.08324488476592116,0.022220589298317748,0.1488258809444531,0.026904047250719612,0.1480937504412849,0.02692248452295393,0.38892870325696965,0.01859414777132463,8.987043619155884,0.24927354549384692,21.835286458333332,0.01770201925767691
tonsil_s1,SMAHD_full,0.06870529219862775,0.02268727792402802,0.12786076815549433,0.010890479231214643,0.12697781905700614,0.010886785644796382,0.45030100397514666,0.05210369637112274,12.1193319161733,0.5103265671154519,57.013020833333336,1.1676799030002027
tonsil_s1,early_concat_single_encoder,0.02884977303781089,0.03423248520701758,0.08210613689267199,0.04858341438472391,0.08102530876077359,0.04864726638638801,0.46901401293578143,0.01451521582825006,7.317453145980835,0.5473399057202136,45.271158854166664,0.04272484188924826
tonsil_s1,equal_weights,0.05629220636707541,0.023679980453021797,0.10586464225763621,0.011236681595787746,0.10479220014151497,0.011254086430022929,0.5104063535801321,0.018379722288602608,11.84029738108317,0.5427467871156104,57.013020833333336,1.1676799030002027
tonsil_s1,full_batch_no_microcluster,0.03305887286181925,0.030735251383383677,0.05173670402063212,0.02981191804985061,0.05038201625570305,0.030226445251898198,0.5425925772750643,0.084495369797197,2.252035935719808,0.05686428981202248,426.42431640625,0.0
tonsil_s2,ADT_only,0.051567590011604214,0.040226745016892544,0.0761376361742293,0.02954962531632167,0.07528863207771906,0.029544737798835815,0.40424041267897404,0.04994512920945289,7.451145966847737,0.2507277240055429,42.708821614583336,0.010257780766007387
tonsil_s2,GCN_encoder,0.06088903506837973,0.006045850977870665,0.13133398603214982,0.009019735302487664,0.13059973185274312,0.009025729734292815,0.3889479341230921,0.005733231902972187,6.849877675374349,0.06792921932876257,23.204264322916668,0.023245127943374275
tonsil_s2,RNA_only,0.010726332187783244,0.023350066700547834,0.04112819878920879,0.017772852661650868,0.03986241722540005,0.017970889646521656,0.529267986618007,0.07643466174338008,7.079363505045573,0.47945226607090874,42.708821614583336,0.010257780766007387
tonsil_s2,SAGE_encoder,0.07880882522893769,0.008245739334760312,0.1388856985160909,0.009095912900801974,0.13818890396653782,0.00910428264581922,0.37546403883045976,0.005422111839992118,10.261479695638021,0.30680490665216176,22.0654296875,0.03564118670096613
tonsil_s2,SMAHD_full,0.024931698855103643,0.03128252062882757,0.07057227360015693,0.051187308057508554,0.06959924140443409,0.05133073946957185,0.4378215818098265,0.02588700991289418,11.939366579055786,0.6119800281717914,58.308430989583336,0.23219317984190685
tonsil_s2,early_concat_single_encoder,0.02858635620097086,0.026514753753226296,0.0847946079435007,0.04386959160623368,0.08380925415767342,0.043954280220605844,0.4569329309503713,0.015678521289528905,7.4985716342926025,0.4940321358419773,45.974283854166664,0.23784576811581798
tonsil_s2,equal_weights,0.02464753758107863,0.030193259862858965,0.07001232140108522,0.04862072575336464,0.06903766874719826,0.04875684692488165,0.43845292826042664,0.024942967346534388,11.676006317138672,0.2898251504403544,58.308430989583336,0.23219317984190685
tonsil_s2,full_batch_no_microcluster,0.013324193158913823,0.023828022425955084,0.04510025005865375,0.027011222518315944,0.04384223767389239,0.027300472135693716,0.5081168279646904,0.09119312723074685,2.104020675023397,0.2868583204990963,447.46875,0.0
